id,name,price,maxPrice,oldPrice,image,rating
SA-01,1999-00 Lazio European Home Shirt,40,80,,1999_00_Lazio_European_Home_Shirt_Salas_9.webp,5
SA-02,2014-15 Juventus Third Shirt,40,40,,2014_15_Juventus_Third_Shirt_Pogba.webp,5
SA-03,1999-00 Parma Home Shirt,18,20,20,1999_00_Parma_Home_Shirt_Ortega_10.webp,5
SA-04,2007-08 Fiorentina Third Shirt,25,50,50,2007_08_Fiorentina_Third_Shirt.webp,4
SA-05,1999-00 Parma Third Shirt,40,40,,1999_00_Parma_Third_Shirt.webp,5
SA-06,2009-10 AC Milan Away Shirt,25,50,50,2009_10_AC_Milan_Away_Shirt_7.webp,5
SA-07,2018-19 Juventus Authentic Home Shirt,40,40,,2018_19_Juventus_Authentic_Home_Shirt_Ronaldo.webp,5
SA-08,2008-09 Fiorentina Home Shirt,120,280,280,2008_09_Fiorentina_Home_Shirt.webp,4
SA-09,2009-10 Inter Milan Home Shirt,18,20,20,2009_10_Inter_Milan_Home_Shirt_Balotelli.webp,5
SA-10,2010-11 Roma Home Shirt,40,40,,2010_11_Roma_Home_Shirt_Totti.webp,4
SA-11,2011-12 Juventus Home Shirt,40,40,,2011_12_Juventus_Home_Shirt_Del_Piero.webp,5
SA-12,2019-20 Napoli Home Shirt,40,40,,2019_20_Napoli_Home_Shirt_Mertens.webp,5
